----- Нефтегаз
ГАЗПРОМ;B;GAZP;200;50
Новатэк ао;B;NVTK;133;750
Роснефть;B;ROSN;500;200
Лукойл;B;LKOH;33;3000
Газпромнефть;B;SIBN;400;250
Сургутнефтегаз;B;SNGS;66;15
Сургутнефтегаз пр;B;SNGSP;555;18
Татнфт 3ао;B;TATN;333;300
Татнфт 3ап;B;TATNP;333;300
Транснефть ап;B;TRNFP;200;500
----- Финансы
Сбербанк;B;SBER;1110;90
Сбербанк Преф;B;SBERP;1110;90
ВТБ ао;B;VTBR;1666;60
Т-Техно ао;B;T;1000;100
Совкомбанк;B;SVCB;100;10
МосБиржа;B;MOEX;142;70
СПБ Биржа;B;SPBE;2000;50
----- Металлургия
НорНикель;B;GMKN;111;90
НЛМК ао;B;NLMK;250;40
СевСталь;B;CHMF;200;500
ММК;B;MAGN;1000;10
Полюс;B;PLZL;250;400
АЛРОСА ао;B;ALRS;666;15
Русал;B;RUAL;500;20
ВСМПО-АВСМ;B;VSMO;10;10000
----- Энергетика
ФСК ЕЭС;B;FEES;333;0.03
РусГидро;B;HYDR;400;0.25
ИнтерРАОао;B;IRAO;500;2
ОГК-2;B;OGKB;1000;0.1
ТГК-1;B;TGKA;500;0.002
+МосЭнерго;B;MSNG;71;1.4
Юнипро ао;B;UPRO;200;0.5
ЭЛ5-Энерго;B;ELFV;333;0.3
РCети Моск.рег.;B;MSRS;140;0.7
РCети ЦП;B;MRKP;76;0.13
Эн+;B;ENPG;500;200
----- Технологии и Телеком
МТС;B;MTSS;66;150
Ростел -ао;B;RTKM;250;40
Ростелеком пр;B;RTKMP;250;40
МГТС ао;B;MGTS;100;1000
МГТС ап;B;MGTSP;200;500
----- Ритейл
X5 Retail;B;X5;100;1000
Магнит ао;B;MGNT;100;1000
FixPrice;B;FIXR;500;0.2
----- Химия
Акрон;B;AKRN;22;4500
ФосАгро;B;PHOR;50;2000
Нижнекамскнефтехим;B;NKNC;333;30
Нижнекамскнефтехим ап;B;NKNCP;500;20
Казаньоргсинтез;B;KZOS;400;25
Казаньоргсинтез ап;B;KZOSP;2000;5
----- Транспорт
Аэрофлот;B;AFLT;500;20
НКХП;B;NKHP;50;200
НМТП ао;B;NMTP;333;3
Совкомфлота;B;FLOT;333;30
----- Недвижимость и Девелоперы
Группа ЛСР;B;LSRG;250;400
Самолет ао;B;SMLT;400;250
ПИК;B;PIKK;300;333
Эталон;B;ETLN;5000;20
----- Пищевая промышленность и Ритейл
Система ао;B;AFKS;1250;0.8
Черкизово;B;GCHE;58;1700
РусАгро;B;RAGR;2000;50
М.видео;B;MVID;2000;50.00
----- Технологии
Яндекс;B;YDEX;100;1000
----- Здоровье
ЕМС;B;GEMC;333;300
----- Прочее
Сегежа;B;SGZH;2000;0.5
----- ОФЗ
ОФЗ 26245;B;SU26245RMFS9;123;81
ОФЗ 26248;B;SU26250RMFS9;122;82
ОФЗ 26246;B;SU26246RMFS7;122;82
ОФЗ 26254;B;SU26254RMFS1;119;84
ОФЗ 26253;B;SU26253RMFS3;119;84
ОФЗ 26225;B;SU26225RMFS1;163;61
ОФЗ 26238;B;SU26238RMFS4;204;49
ОФЗ 26230;B;SU26230RMFS1;181;55
ОФЗ 26243;B;SU26243RMFS4;151;66
ОФЗ 26240;B;SU26240RMFS0;185;54
ОФЗ 26233;B;SU26233RMFS5;185;54
ОФЗ 26221;B;SU26221RMFS0;151;66
ОФЗ 26241;B;SU26241RMFS8;133;75
ОФЗ 26218;B;SU26218RMFS6;133;75
ОФЗ 26239;B;SU26239RMFS2;142;70
ОФЗ 26235;B;SU26235RMFS0;145;69
ОФЗ 26228;B;SU26228RMFS5;126;80
ОФЗ 26224;B;SU26224RMFS4;166;60
ОФЗ 26236;B;SU26236RMFS8;156;64
ОФЗ 26232;B;SU26232RMFS7;144;69
ОФЗ 26226;B;SU26226RMFS9;126;79
ОФЗ 26237;B;SU26237RMFS6;158;63
ОФЗ 26219;B;SU26219RMFS4;129;77
ОФЗ 26212;B;SU26212RMFS9;149;67
ОФЗ 26207;B;SU26207RMFS9;131;76
ОФЗ 29007;B;SU29007RMFS0;103;97
ОФЗ 29008;B;SU29008RMFS8;102;97
ОФЗ 29009;B;SU29009RMFS6;103;97
ОФЗ 29010;B;SU29010RMFS4;102;98
ОФЗ 29013;B;SU29013RMFS8;106;94
ОФЗ 29015;B;SU29015RMFS3;106;94
ОФЗ 29016;B;SU29016RMFS1;106;94
ОФЗ 29017;B;SU29017RMFS9;107;93
ОФЗ 29018;B;SU29018RMFS7;107;93
ОФЗ 29019;B;SU29019RMFS5;108;92
ОФЗ 29020;B;SU29020RMFS3;106;94
ОФЗ 29021;B;SU29021RMFS1;111;90
ОФЗ 29022;B;SU29022RMFS9;109;91
ОФЗ 29023;B;SU29023RMFS7;111;90
ОФЗ 29024;B;SU29024RMFS5;111;90
ОФЗ 26242;B;SU26242RMFS6;149;67
